epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1659.51,0.88948,0.35205,1.0355,0.89159,0.88891,0.89363,0.68079,1.27985,0.58422,1.37957,0.00808389,0.00808389,0.00808389
17,945.249,0.95809,0.40411,1.0652,0.88703,0.88807,0.90339,0.67918,1.29851,0.58586,1.35147,0.00938772,0.00938772,0.00938772
54,2976.28,0.80058,0.30162,0.99357,0.897,0.88755,0.89583,0.68527,1.29393,0.6061,1.41273,0.00458416,0.00458416,0.00458416
36,1989.39,0.86523,0.33533,1.0206,0.89876,0.88501,0.89327,0.67978,1.28075,0.57641,1.36304,0.00729725,0.00729725,0.00729725
51,2812.71,0.80725,0.30901,0.99833,0.90296,0.88432,0.89875,0.6901,1.28438,0.61486,1.38722,0.00505,0.00505,0.00505
34,1879.32,0.87458,0.34244,1.02445,0.90114,0.88407,0.89931,0.68338,1.27468,0.59788,1.35694,0.00756976,0.00756976,0.00756976
37,2044.51,0.85755,0.33573,1.01514,0.89608,0.88401,0.89407,0.68288,1.26817,0.59122,1.34894,0.00715761,0.00715761,0.00715761
18,1000.27,0.94902,0.40273,1.06195,0.89495,0.88394,0.89514,0.67184,1.28443,0.62035,1.35664,0.00931067,0.00931067,0.00931067
22,1220.05,0.92897,0.3785,1.05215,0.89515,0.88358,0.89456,0.6705,1.27696,0.57401,1.34195,0.00896127,0.00896127,0.00896127
59,3250.18,0.78256,0.29405,0.98631,0.90564,0.88352,0.89444,0.6855,1.2927,0.62056,1.39166,0.00381899,0.00381899,0.00381899
48,2648.87,0.8218,0.3139,1.00329,0.90873,0.88329,0.89336,0.68536,1.28785,0.61067,1.39453,0.00551584,0.00551584,0.00551584
64,3524.5,0.77059,0.28641,0.97885,0.90794,0.88307,0.89392,0.68413,1.30954,0.63542,1.41862,0.00308412,0.00308412,0.00308412
50,2758.71,0.81338,0.31128,0.99962,0.90113,0.88264,0.89861,0.68927,1.28706,0.61841,1.39711,0.00520548,0.00520548,0.00520548
57,3140.35,0.79,0.29684,0.98647,0.90162,0.88243,0.89464,0.68391,1.30364,0.59722,1.40398,0.00412246,0.00412246,0.00412246
60,3305.14,0.78464,0.29554,0.98785,0.91292,0.88221,0.89759,0.6872,1.29538,0.60762,1.40033,0.00366899,0.00366899,0.00366899
63,3469.55,0.77119,0.28936,0.9803,0.90488,0.88193,0.89184,0.68113,1.30793,0.64405,1.40955,0.00322778,0.00322778,0.00322778
61,3359.85,0.77639,0.29199,0.98302,0.90638,0.88178,0.89455,0.68345,1.30103,0.6229,1.40033,0.00352037,0.00352037,0.00352037
26,1439.77,0.90441,0.36477,1.04146,0.89891,0.88157,0.89136,0.67504,1.27672,0.60465,1.38069,0.00855018,0.00855018,0.00855018
28,1549.72,0.89559,0.36156,1.0355,0.90644,0.88157,0.89486,0.68063,1.27292,0.57752,1.35739,0.00832349,0.00832349,0.00832349
62,3414.66,0.77538,0.29242,0.98282,0.90408,0.88135,0.89046,0.68033,1.30419,0.64505,1.39828,0.00337325,0.00337325,0.00337325
58,3195.28,0.79093,0.29596,0.98703,0.89734,0.88114,0.88921,0.68264,1.30043,0.61341,1.39054,0.00397019,0.00397019,0.00397019
38,2099.52,0.85657,0.3345,1.01858,0.9072,0.881,0.89942,0.68981,1.27031,0.57714,1.34956,0.00701588,0.00701588,0.00701588
24,1329.91,0.91561,0.37594,1.04413,0.89717,0.8805,0.89507,0.67651,1.27826,0.59232,1.3476,0.00876305,0.00876305,0.00876305
49,2703.65,0.81224,0.31077,1.00121,0.90906,0.88049,0.90099,0.68719,1.2997,0.57029,1.40917,0.00536081,0.00536081,0.00536081
52,2867.4,0.80537,0.3034,0.99711,0.90713,0.87984,0.89265,0.68602,1.28841,0.61561,1.40233,0.00489452,0.00489452,0.00489452
33,1824.19,0.87823,0.34563,1.02681,0.90014,0.87963,0.88963,0.67803,1.28939,0.60422,1.38006,0.00770234,0.00770234,0.00770234
55,3030.77,0.79554,0.29943,0.99035,0.91018,0.87898,0.897,0.68676,1.30199,0.60594,1.40191,0.0044296,0.0044296,0.0044296
66,3634.32,0.76254,0.28579,0.97472,0.89978,0.87859,0.89159,0.68302,1.31286,0.65883,1.41178,0.00280275,0.00280275,0.00280275
98,5383.6,0.72721,0.22098,0.95125,0.90024,0.87834,0.88916,0.67702,1.33287,0.65759,1.4636,0.000121968,0.000121968,0.000121968
100,5491.51,0.72417,0.22,0.94971,0.90054,0.87834,0.88946,0.67693,1.33449,0.65666,1.46621,0.000102443,0.000102443,0.000102443
40,2209.41,0.84744,0.3285,1.01317,0.90374,0.87791,0.8952,0.68505,1.28142,0.60633,1.36517,0.00672675,0.00672675,0.00672675
96,5275.67,0.72857,0.22267,0.95081,0.90154,0.87791,0.88966,0.67745,1.33268,0.65851,1.46143,0.000160943,0.000160943,0.000160943
99,5437.51,0.72696,0.22007,0.95055,0.89983,0.87758,0.88868,0.67692,1.33442,0.65612,1.4651,0.000109768,0.000109768,0.000109768
32,1769.08,0.87891,0.34491,1.02694,0.9004,0.87748,0.89763,0.68597,1.27903,0.60867,1.36596,0.00783231,0.00783231,0.00783231
56,3085.44,0.78973,0.2967,0.98688,0.91464,0.87748,0.90191,0.6879,1.30103,0.59524,1.40219,0.00427565,0.00427565,0.00427565
95,5221.73,0.73136,0.22192,0.95241,0.90252,0.87748,0.88999,0.67723,1.33251,0.66019,1.46063,0.000187678,0.000187678,0.000187678
16,890.453,0.96383,0.41272,1.07117,0.8829,0.87726,0.88673,0.66272,1.29624,0.63796,1.37633,0.00946048,0.00946048,0.00946048
69,3798.92,0.75215,0.2826,0.97326,0.90171,0.87726,0.89143,0.68135,1.31459,0.64625,1.42166,0.00239766,0.00239766,0.00239766
73,4018.74,0.74372,0.27872,0.96861,0.90107,0.87726,0.88826,0.68064,1.32004,0.65457,1.4254,0.00189475,0.00189475,0.00189475
97,5329.63,0.72714,0.22002,0.95234,0.89985,0.87726,0.88849,0.67731,1.33295,0.65781,1.46264,0.000139032,0.000139032,0.000139032
27,1494.73,0.9022,0.36381,1.03673,0.91196,0.87705,0.90205,0.67995,1.26816,0.60644,1.34216,0.00843851,0.00843851,0.00843851
70,3853.9,0.75412,0.28077,0.97269,0.90028,0.87705,0.88957,0.68074,1.31875,0.64369,1.42799,0.00226769,0.00226769,0.00226769
74,4073.6,0.74152,0.27677,0.96732,0.90045,0.87691,0.88917,0.68113,1.3205,0.6545,1.43116,0.00177651,0.00177651,0.00177651
44,2429.93,0.83338,0.3207,1.00743,0.90624,0.87648,0.89393,0.68634,1.28516,0.63013,1.37726,0.00612981,0.00612981,0.00612981
53,2921.92,0.80268,0.30498,0.99358,0.9072,0.8764,0.89145,0.68564,1.29034,0.61794,1.3932,0.00473919,0.00473919,0.00473919
42,2319.65,0.84129,0.32517,1.01157,0.90416,0.87626,0.89403,0.68258,1.27473,0.60894,1.38614,0.00643101,0.00643101,0.00643101
88,4838.75,0.71868,0.26855,0.95943,0.90382,0.87618,0.88978,0.6785,1.32469,0.66439,1.44808,0.000507115,0.000507115,0.000507115
86,4728.68,0.71813,0.26587,0.9611,0.90423,0.87597,0.89054,0.67766,1.32641,0.65998,1.44667,0.000639518,0.000639518,0.000639518
45,2484.64,0.83116,0.32032,1.0072,0.90618,0.87594,0.89677,0.68671,1.28794,0.59988,1.38966,0.00597754,0.00597754,0.00597754
90,4948.56,0.71089,0.26606,0.95909,0.90264,0.87587,0.88992,0.6784,1.32508,0.66749,1.45037,0.00039264,0.00039264,0.00039264
85,4673.76,0.7233,0.26871,0.96143,0.90349,0.87585,0.89064,0.6784,1.32606,0.65997,1.4463,0.000712282,0.000712282,0.000712282
29,1604.55,0.89239,0.35568,1.03597,0.90194,0.87575,0.89252,0.67871,1.27726,0.61605,1.3684,0.00820525,0.00820525,0.00820525
87,4783.71,0.71669,0.26806,0.95832,0.90532,0.87575,0.89021,0.67806,1.32493,0.66487,1.4463,0.000571106,0.000571106,0.000571106
89,4893.65,0.71612,0.26608,0.95784,0.90482,0.87566,0.88968,0.67827,1.3242,0.66536,1.45039,0.000447606,0.000447606,0.000447606
81,4456.83,0.72495,0.26929,0.96452,0.9049,0.87554,0.88897,0.67925,1.32189,0.66015,1.44664,0.00104537,0.00104537,0.00104537
93,5113.39,0.73317,0.22151,0.95275,0.90639,0.87554,0.88966,0.67695,1.32935,0.66053,1.45659,0.000255513,0.000255513,0.000255513
92,5059.28,0.73681,0.22398,0.95582,0.90556,0.87532,0.88982,0.67776,1.32805,0.66347,1.45306,0.000296546,0.000296546,0.000296546
47,2593.91,0.8235,0.3179,1.00744,0.90217,0.87511,0.88546,0.68035,1.29137,0.635,1.39954,0.0056704,0.0056704,0.0056704
83,4564.22,0.72165,0.26839,0.9617,0.9052,0.87511,0.8892,0.67807,1.32569,0.65843,1.44677,0.000870577,0.000870577,0.000870577
82,4510.57,0.72842,0.27164,0.96376,0.90628,0.87507,0.88877,0.67807,1.32316,0.65967,1.44908,0.000955951,0.000955951,0.000955951
91,5005.25,0.74862,0.23047,0.96095,0.9066,0.87479,0.89015,0.67792,1.32686,0.66802,1.45174,0.00034227,0.00034227,0.00034227
65,3579.36,0.76754,0.28674,0.9779,0.9083,0.87468,0.89358,0.68457,1.31057,0.64987,1.41482,0.00294239,0.00294239,0.00294239
71,3908.86,0.74832,0.28055,0.97202,0.90075,0.87461,0.88865,0.6797,1.31973,0.65396,1.42644,0.00214046,0.00214046,0.00214046
68,3744.01,0.75673,0.27987,0.97439,0.90979,0.874,0.89172,0.68196,1.31701,0.64766,1.41921,0.00253024,0.00253024,0.00253024
43,2374.91,0.83599,0.3248,1.00906,0.90933,0.87339,0.89076,0.68578,1.28043,0.63057,1.37696,0.00628101,0.00628101,0.00628101
12,670.454,1.00109,0.4443,1.09059,0.89762,0.87337,0.89471,0.66513,1.29802,0.60158,1.36202,0.00970736,0.00970736,0.00970736
72,3963.86,0.74714,0.27962,0.9694,0.90172,0.87317,0.88787,0.68001,1.31959,0.65617,1.42673,0.00201611,0.00201611,0.00201611
80,4402.74,0.72923,0.27177,0.96548,0.90709,0.87317,0.89,0.67982,1.32051,0.65858,1.44487,0.00113873,0.00113873,0.00113873
67,3689.17,0.75801,0.28108,0.97281,0.91023,0.87308,0.89363,0.68379,1.31374,0.6596,1.40969,0.00266532,0.00266532,0.00266532
94,5167.71,0.73,0.22151,0.95205,0.90765,0.87295,0.8897,0.67714,1.33144,0.66051,1.45899,0.000219212,0.000219212,0.000219212
31,1714.2,0.88793,0.35143,1.03089,0.89946,0.87292,0.88872,0.67985,1.29484,0.60938,1.37956,0.00795954,0.00795954,0.00795954
79,4347.76,0.72834,0.27031,0.96588,0.90722,0.87292,0.89025,0.67916,1.31949,0.65822,1.44299,0.00123596,0.00123596,0.00123596
78,4292.88,0.7352,0.27385,0.96602,0.90868,0.87234,0.89052,0.67912,1.31928,0.65907,1.43838,0.00133695,0.00133695,0.00133695
84,4618.91,0.72566,0.27056,0.96137,0.91043,0.87188,0.89083,0.67899,1.32668,0.6557,1.4466,0.000789327,0.000789327,0.000789327
75,4128.35,0.7414,0.27636,0.9684,0.90633,0.87132,0.88935,0.68007,1.32107,0.65435,1.43434,0.00166149,0.00166149,0.00166149
41,2264.37,0.84394,0.32605,1.01292,0.9075,0.8708,0.89574,0.68832,1.27608,0.61922,1.36905,0.00657963,0.00657963,0.00657963
46,2539.32,0.8246,0.31825,1.00648,0.9133,0.87059,0.8876,0.6845,1.29285,0.63577,1.39431,0.00582435,0.00582435,0.00582435
21,1165.18,0.93275,0.38699,1.05242,0.90132,0.87021,0.89631,0.67511,1.28089,0.58166,1.33617,0.00905463,0.00905463,0.00905463
77,4238.03,0.73396,0.27318,0.96495,0.91123,0.87017,0.89092,0.68019,1.32027,0.65816,1.43603,0.00144161,0.00144161,0.00144161
13,725.546,0.99421,0.43274,1.08525,0.87576,0.87016,0.87487,0.65968,1.30856,0.65734,1.34237,0.00965239,0.00965239,0.00965239
15,835.434,0.97513,0.41723,1.07819,0.89017,0.87016,0.89333,0.67532,1.2725,0.61132,1.35564,0.00952889,0.00952889,0.00952889
76,4183.24,0.73639,0.27203,0.96885,0.90862,0.8694,0.88889,0.68023,1.31844,0.66822,1.43434,0.00154982,0.00154982,0.00154982
