epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,4455.31,0.72605,0.2696,0.97073,0.80791,0.8919,0.85342,0.57121,1.62842,1.11296,1.66136,0.00505,0.00505,0.00505
24,2108.96,0.85664,0.32551,1.02598,0.89364,0.88997,0.90152,0.69273,1.27595,0.59522,1.35787,0.00876305,0.00876305,0.00876305
30,2630.92,0.82484,0.31363,1.0121,0.90142,0.88494,0.89899,0.68931,1.27848,0.59533,1.38736,0.00808389,0.00808389,0.00808389
10,893.493,0.98504,0.4187,1.09075,0.88119,0.88437,0.89107,0.67106,1.30936,0.56665,1.37892,0.00980345,0.00980345,0.00980345
31,2717.83,0.81687,0.3072,1.00825,0.89148,0.88372,0.90168,0.6914,1.27518,0.59601,1.38119,0.00795954,0.00795954,0.00795954
25,2195.82,0.84957,0.32318,1.02328,0.87931,0.88363,0.88012,0.6758,1.28034,0.63039,1.3895,0.00865839,0.00865839,0.00865839
15,1327.1,0.92832,0.37146,1.06261,0.88222,0.88286,0.89277,0.67729,1.28047,0.62973,1.37409,0.00952889,0.00952889,0.00952889
52,4542.23,0.71802,0.26468,0.96908,0.82185,0.88178,0.84533,0.562,1.6523,1.3104,1.6839,0.00489452,0.00489452,0.00489452
13,1153.38,0.94306,0.38491,1.0688,0.89201,0.87917,0.89308,0.68043,1.26273,0.60398,1.35222,0.00965239,0.00965239,0.00965239
6,545.337,1.06686,0.49241,1.12823,0.89202,0.87834,0.89132,0.66849,1.30091,0.56739,1.38683,0.00993906,0.00993906,0.00993906
7,632.417,1.03924,0.46438,1.11728,0.89521,0.87798,0.90056,0.66987,1.28772,0.56478,1.36577,0.00991232,0.00991232,0.00991232
29,2543.92,0.82953,0.31449,1.01513,0.8974,0.87769,0.8958,0.68813,1.28051,0.60427,1.39301,0.00820525,0.00820525,0.00820525
28,2457.05,0.82837,0.31779,1.0165,0.90662,0.87763,0.89906,0.68809,1.28026,0.60201,1.39007,0.00832349,0.00832349,0.00832349
26,2282.91,0.84461,0.31997,1.02038,0.88944,0.87681,0.88672,0.68507,1.2847,0.59956,1.38734,0.00855018,0.00855018,0.00855018
20,1761.45,0.88696,0.34426,1.04004,0.88413,0.87661,0.89135,0.68372,1.28489,0.61137,1.36019,0.00914405,0.00914405,0.00914405
16,1413.93,0.9174,0.36493,1.05635,0.88396,0.87604,0.88826,0.67329,1.30563,0.63379,1.37452,0.00946048,0.00946048,0.00946048
32,2804.66,0.81137,0.30584,1.00724,0.89776,0.8758,0.89877,0.66943,1.33497,0.62917,1.41954,0.00783231,0.00783231,0.00783231
9,806.473,1.00157,0.43258,1.10032,0.89908,0.87568,0.90365,0.68097,1.25578,0.59927,1.32502,0.00984449,0.00984449,0.00984449
8,719.339,1.01693,0.4475,1.1044,0.8783,0.87503,0.88184,0.65662,1.31955,0.62854,1.37483,0.00988079,0.00988079,0.00988079
19,1674.61,0.89287,0.34962,1.04305,0.89116,0.87358,0.89099,0.68039,1.28457,0.60389,1.37366,0.00922942,0.00922942,0.00922942
44,3847.76,0.749,0.27484,0.97736,0.89914,0.87188,0.90173,0.65477,1.42376,0.63905,1.46201,0.00612981,0.00612981,0.00612981
34,2978.23,0.80587,0.30075,1.00344,0.90145,0.87166,0.89747,0.66789,1.35263,0.64381,1.4264,0.00756976,0.00756976,0.00756976
35,3065.02,0.79585,0.29507,0.99972,0.89926,0.87102,0.89913,0.67006,1.34248,0.62677,1.41918,0.00743468,0.00743468,0.00743468
39,3413.03,0.77773,0.28904,0.99157,0.90442,0.87059,0.90161,0.66696,1.36064,0.64345,1.4261,0.00687222,0.00687222,0.00687222
23,2022.15,0.86229,0.32976,1.0292,0.90293,0.87043,0.89614,0.68447,1.27482,0.59219,1.38046,0.00886404,0.00886404,0.00886404
38,3326.08,0.77969,0.29149,0.99305,0.89986,0.87028,0.89951,0.66624,1.36177,0.63645,1.42551,0.00701588,0.00701588,0.00701588
45,3934.26,0.74717,0.2746,0.98006,0.89992,0.86896,0.90003,0.65019,1.43189,0.64547,1.47883,0.00597754,0.00597754,0.00597754
41,3587.14,0.76956,0.2835,0.987,0.90809,0.86819,0.90306,0.65952,1.40777,0.64391,1.4604,0.00657963,0.00657963,0.00657963
21,1848.35,0.87411,0.33599,1.0342,0.88585,0.868,0.88746,0.68093,1.29235,0.61593,1.39054,0.00905463,0.00905463,0.00905463
14,1240.17,0.93432,0.37864,1.06266,0.902,0.86779,0.89378,0.67948,1.27298,0.60962,1.34278,0.00959289,0.00959289,0.00959289
40,3500.05,0.77226,0.28482,0.98861,0.9119,0.86757,0.90476,0.66898,1.36353,0.63435,1.43057,0.00672675,0.00672675,0.00672675
42,3674.16,0.76176,0.27948,0.98554,0.90421,0.8671,0.90402,0.65618,1.4272,0.64231,1.46295,0.00643101,0.00643101,0.00643101
36,3152.06,0.7923,0.29215,0.99712,0.90425,0.86702,0.89682,0.66569,1.3539,0.6224,1.42787,0.00729725,0.00729725,0.00729725
43,3761.03,0.75675,0.2793,0.98352,0.90238,0.86693,0.90045,0.6534,1.42823,0.6375,1.46067,0.00628101,0.00628101,0.00628101
49,4281.46,0.73121,0.26856,0.97123,0.89138,0.86649,0.87799,0.60939,1.52119,0.73452,1.59635,0.00536081,0.00536081,0.00536081
22,1935.18,0.87057,0.33432,1.03254,0.90456,0.86521,0.8951,0.6883,1.26759,0.62387,1.36064,0.00896127,0.00896127,0.00896127
47,4107.82,0.74108,0.27385,0.97489,0.90225,0.86448,0.89443,0.62146,1.5235,0.68177,1.58572,0.0056704,0.0056704,0.0056704
11,980.19,0.96909,0.40759,1.08441,0.90251,0.86348,0.9028,0.68225,1.27612,0.60703,1.34052,0.00975773,0.00975773,0.00975773
37,3238.99,0.78427,0.2929,0.99538,0.9096,0.86326,0.89958,0.66797,1.35718,0.63357,1.42813,0.00715761,0.00715761,0.00715761
17,1500.82,0.9102,0.35638,1.05009,0.90524,0.8624,0.89693,0.68629,1.29104,0.59229,1.37703,0.00938772,0.00938772,0.00938772
48,4194.55,0.73437,0.27244,0.97288,0.9032,0.8624,0.89,0.61829,1.52138,0.69635,1.58885,0.00551584,0.00551584,0.00551584
53,4629.2,0.71373,0.26293,0.96442,0.82921,0.85831,0.83724,0.56024,1.65188,1.43273,1.68851,0.00473919,0.00473919,0.00473919
46,4021.16,0.74375,0.27536,0.97563,0.91025,0.85723,0.89798,0.62279,1.51991,0.68747,1.57547,0.00582435,0.00582435,0.00582435
50,4368.35,0.73121,0.26931,0.97098,0.88025,0.85633,0.86653,0.57458,1.62636,0.89925,1.64734,0.00520548,0.00520548,0.00520548
18,1587.77,0.89806,0.3519,1.04748,0.90253,0.85002,0.89285,0.67949,1.28125,0.63873,1.36936,0.00931067,0.00931067,0.00931067
12,1067.08,0.95916,0.39639,1.07792,0.90348,0.85,0.88216,0.67456,1.28404,0.63246,1.38141,0.00970736,0.00970736,0.00970736
5,458.363,1.09108,0.53877,1.14249,0.87345,0.84642,0.86721,0.62671,1.37285,0.70446,1.42241,0.00996097,0.00996097,0.00996097
27,2370.04,0.83767,0.32167,1.01666,0.79946,0.82586,0.7493,0.59721,1.28054,3.71694,1.39684,0.00843851,0.00843851,0.00843851
54,4716.22,0.71231,0.26144,0.96525,0.83971,0.81611,0.82477,0.55353,1.65206,1.55067,1.69413,0.00458416,0.00458416,0.00458416
33,2891.5,0.80545,0.29984,1.00306,0.73954,0.81129,0.68713,0.55151,1.34399,4.86691,1.42179,0.00770234,0.00770234,0.00770234
3,284.31,1.19634,0.66469,1.19749,0.83386,0.79027,0.80936,0.59448,1.39366,1.15122,1.43882,0.00998135,0.00998135,0.0100702
4,371.315,1.13844,0.58743,1.16859,0.78374,0.78194,0.82699,0.5981,1.38337,0.8798,1.47815,0.00997803,0.00997803,0.00997803
100,8714.17,0.59884,0.18338,0.91044,0.91401,0.76723,0.82455,0.57851,1.5626,1.86555,1.81072,0.000102443,0.000102443,0.000102443
55,4803.04,0.70635,0.25621,0.96322,0.84158,0.75538,0.80287,0.54237,1.6371,1.65261,1.68644,0.0044296,0.0044296,0.0044296
2,197.486,1.24573,0.76228,1.22189,0.76309,0.74736,0.78091,0.54974,1.49743,1.12681,1.51591,0.00665615,0.00665615,0.0400784
56,4890.07,0.70555,0.25976,0.96111,0.84261,0.71835,0.78826,0.5349,1.62784,1.78932,1.68432,0.00427565,0.00427565,0.00427565
57,4976.82,0.69719,0.25597,0.95793,0.85251,0.70693,0.78668,0.53753,1.61795,1.95361,1.67685,0.00412246,0.00412246,0.00412246
58,5063.83,0.69711,0.25567,0.95863,0.8732,0.70026,0.78907,0.53924,1.60067,2.12711,1.66193,0.00397019,0.00397019,0.00397019
99,8627.3,0.59887,0.18338,0.91158,0.90995,0.69918,0.7941,0.56086,1.55417,2.08414,1.80102,0.000109768,0.000109768,0.000109768
59,5150.7,0.69367,0.25652,0.95822,0.89312,0.69294,0.79239,0.54278,1.56854,2.30924,1.63798,0.00381899,0.00381899,0.00381899
60,5237.69,0.68766,0.25261,0.95584,0.90676,0.67937,0.79129,0.54511,1.52887,2.38528,1.60697,0.00366899,0.00366899,0.00366899
61,5324.78,0.6836,0.25052,0.95519,0.92247,0.66279,0.78758,0.54663,1.49579,1.81212,1.59384,0.00352037,0.00352037,0.00352037
