epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,,,,
1,320.728,0.55639,0.92655,0.23748,0.31755,0.51566,0.33698,0.20496,0.4035,2.09482,0.2788,3.33E-05,3.33E-05,0.0667389,,,5.345466667,0.089091111
2,626.39,0.40898,0.45426,0.14677,0.81058,0.84918,0.80655,0.60287,0.32251,0.37705,0.1951,6.66E-05,6.66E-05,0.0334388,,,10.43983333,0.173997222
3,930.652,0.35622,0.36693,0.12323,0.87755,0.90332,0.88548,0.67917,0.30041,0.30345,0.17887,9.99E-05,9.99E-05,0.000138759,,,15.51086667,0.258514444
4,1234.54,0.32163,0.33943,0.1101,0.8954,0.90116,0.88627,0.68051,0.2962,0.29605,0.17825,9.98E-05,9.98E-05,9.98E-05,,,20.57566667,0.342927778
5,1537.99,0.30199,0.32546,0.10261,0.91638,0.93147,0.92432,0.70628,0.28266,0.27839,0.15137,9.96E-05,9.96E-05,9.96E-05,,,25.63316667,0.427219444
6,1841.85,0.29211,0.31776,0.0985,0.92643,0.92873,0.92741,0.7048,0.28714,0.2822,0.1527,9.94E-05,9.94E-05,9.94E-05,,,30.6975,0.511625
7,2145.56,0.28203,0.31126,0.09527,0.92984,0.92498,0.93132,0.70771,0.28178,0.28335,0.15098,9.91E-05,9.91E-05,9.91E-05,,,35.75933333,0.595988889
8,2450.08,0.27659,0.30652,0.09264,0.91405,0.91726,0.91279,0.70323,0.28801,0.28276,0.15268,9.88E-05,9.88E-05,9.88E-05,,,40.83466667,0.680577778
9,2754.13,0.27046,0.30329,0.08986,0.91796,0.91904,0.91507,0.69582,0.29481,0.28578,0.16449,9.84E-05,9.84E-05,9.84E-05,,,45.90216667,0.765036111
10,3058.97,0.26358,0.30001,0.08804,0.91387,0.90913,0.90859,0.69358,0.29366,0.2909,0.1644,9.80E-05,9.80E-05,9.80E-05,,,50.98283333,0.849713889
11,3363.03,0.26031,0.2969,0.08614,0.91733,0.91258,0.91302,0.69448,0.29551,0.28587,0.15765,9.76E-05,9.76E-05,9.76E-05,,,56.0505,0.934175
12,3668.15,0.25575,0.29375,0.08421,0.91348,0.9031,0.91027,0.69286,0.2983,0.29097,0.16174,9.71E-05,9.71E-05,9.71E-05,,,61.13583333,1.018930556
