epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,768.983,0.82179,0.40797,1.03088,0.89254,0.89686,0.89823,0.67119,1.17939,0.55131,1.29336,0.00970736,0.00970736,0.00970736
11,706.289,0.83324,0.41403,1.03757,0.89685,0.88581,0.89963,0.66258,1.18624,0.58691,1.30551,0.00975773,0.00975773,0.00975773
17,1082.94,0.78977,0.37902,1.01363,0.88854,0.88535,0.89247,0.67914,1.1527,0.54538,1.28751,0.00938772,0.00938772,0.00938772
31,1961.41,0.72439,0.33807,0.98233,0.89399,0.88157,0.89008,0.68052,1.17304,0.54477,1.33336,0.00795954,0.00795954,0.00795954
43,2715.38,0.67029,0.31091,0.96203,0.87223,0.88125,0.88358,0.67732,1.18403,0.53939,1.35444,0.00628101,0.00628101,0.00628101
22,1396.34,0.76524,0.36327,1.00229,0.89175,0.88028,0.88273,0.6764,1.18304,0.5499,1.31605,0.00896127,0.00896127,0.00896127
40,2527.05,0.68709,0.31814,0.96599,0.88126,0.87898,0.88899,0.6811,1.18319,0.5301,1.34574,0.00672675,0.00672675,0.00672675
54,3409.23,0.62834,0.2908,0.94585,0.88529,0.87769,0.8921,0.68151,1.19917,0.53545,1.38972,0.00458416,0.00458416,0.00458416
59,3726.19,0.60986,0.28207,0.93806,0.88487,0.87748,0.88989,0.67913,1.19986,0.54219,1.38859,0.00381899,0.00381899,0.00381899
61,3852.59,0.60446,0.2795,0.93607,0.88697,0.87652,0.88847,0.67755,1.20415,0.5466,1.39186,0.00352037,0.00352037,0.00352037
53,3345.8,0.63232,0.29256,0.94654,0.89191,0.8764,0.88933,0.67873,1.19916,0.53455,1.38843,0.00473919,0.00473919,0.00473919
9,580.622,0.85131,0.43113,1.04834,0.88692,0.87618,0.89007,0.66561,1.17152,0.59278,1.26928,0.00984449,0.00984449,0.00984449
21,1333.59,0.76988,0.36553,1.0044,0.88649,0.87618,0.88221,0.67496,1.18415,0.55573,1.33154,0.00905463,0.00905463,0.00905463
52,3282.35,0.63665,0.29527,0.94843,0.89645,0.87554,0.89168,0.6798,1.18943,0.52664,1.36977,0.00489452,0.00489452,0.00489452
14,894.655,0.81373,0.39831,1.025,0.89672,0.87491,0.89306,0.67853,1.16136,0.55597,1.2945,0.00959289,0.00959289,0.00959289
66,4169.72,0.58801,0.27055,0.92977,0.89022,0.87468,0.88855,0.67782,1.20897,0.55048,1.40912,0.00280275,0.00280275,0.00280275
13,831.829,0.82123,0.4025,1.02924,0.89636,0.87414,0.8913,0.66598,1.19065,0.55902,1.32831,0.00965239,0.00965239,0.00965239
56,3536.02,0.61958,0.28547,0.94078,0.89539,0.87403,0.89248,0.68152,1.20166,0.53932,1.38838,0.00427565,0.00427565,0.00427565
49,3092.61,0.64738,0.29882,0.95319,0.8891,0.87339,0.89008,0.68017,1.18511,0.53719,1.35788,0.00536081,0.00536081,0.00536081
8,517.862,0.87244,0.44804,1.05847,0.91014,0.87295,0.90364,0.66165,1.15879,0.60681,1.29429,0.00988079,0.00988079,0.00988079
37,2338.51,0.69411,0.32243,0.96959,0.89431,0.87289,0.89252,0.67927,1.17296,0.53255,1.32234,0.00715761,0.00715761,0.00715761
57,3599.3,0.61881,0.28601,0.94212,0.89069,0.87259,0.8868,0.67699,1.20367,0.542,1.39303,0.00412246,0.00412246,0.00412246
32,2024.16,0.71288,0.33364,0.97916,0.88903,0.87245,0.88613,0.67918,1.16809,0.53633,1.32159,0.00783231,0.00783231,0.00783231
45,2840.98,0.66408,0.3062,0.95798,0.89287,0.8723,0.88447,0.67894,1.1849,0.52491,1.34857,0.00597754,0.00597754,0.00597754
58,3662.77,0.61662,0.28403,0.9404,0.88593,0.8722,0.88758,0.67921,1.20254,0.54644,1.39026,0.00397019,0.00397019,0.00397019
7,454.909,0.87736,0.45479,1.06477,0.90692,0.87209,0.89874,0.67818,1.15205,0.57498,1.26812,0.00991232,0.00991232,0.00991232
36,2275.66,0.69796,0.32294,0.97103,0.9,0.87187,0.88772,0.67765,1.18907,0.52979,1.34173,0.00729725,0.00729725,0.00729725
55,3472.59,0.62606,0.28889,0.94384,0.89912,0.87182,0.89375,0.6803,1.19919,0.53706,1.38229,0.0044296,0.0044296,0.0044296
67,4233.04,0.58283,0.2679,0.92808,0.89056,0.87166,0.88606,0.67632,1.21107,0.55211,1.41668,0.00266532,0.00266532,0.00266532
68,4296.47,0.58119,0.26743,0.92763,0.88519,0.87145,0.88311,0.67652,1.21058,0.55301,1.41496,0.00253024,0.00253024,0.00253024
64,4042.97,0.59587,0.27406,0.93226,0.89138,0.87095,0.88812,0.67829,1.20734,0.54779,1.4061,0.00308412,0.00308412,0.00308412
63,3979.49,0.59687,0.27545,0.93281,0.89453,0.87067,0.88792,0.67929,1.20996,0.54712,1.40599,0.00322778,0.00322778,0.00322778
65,4106.24,0.59091,0.27252,0.93129,0.89101,0.8705,0.8885,0.67803,1.20679,0.55093,1.40577,0.00294239,0.00294239,0.00294239
72,4550.56,0.57058,0.26244,0.9226,0.8825,0.87037,0.87895,0.67409,1.21373,0.5564,1.42567,0.00201611,0.00201611,0.00201611
15,957.469,0.80563,0.39296,1.02268,0.87843,0.87032,0.8811,0.65524,1.1781,0.58122,1.32018,0.00952889,0.00952889,0.00952889
46,2903.88,0.65656,0.30373,0.95671,0.89471,0.86972,0.88621,0.6767,1.19897,0.54098,1.36089,0.00582435,0.00582435,0.00582435
25,1584.48,0.74858,0.35296,0.99486,0.89381,0.86951,0.88542,0.68044,1.1638,0.54059,1.30314,0.00865839,0.00865839,0.00865839
27,1710.22,0.73776,0.34727,0.98842,0.89095,0.86933,0.89084,0.6774,1.16933,0.55786,1.31213,0.00843851,0.00843851,0.00843851
44,2778.19,0.66533,0.30757,0.95885,0.89776,0.86888,0.88894,0.68058,1.18089,0.52369,1.34355,0.00612981,0.00612981,0.00612981
60,3789.35,0.61125,0.28202,0.93767,0.89703,0.86886,0.89038,0.67947,1.20769,0.54545,1.39166,0.00366899,0.00366899,0.00366899
71,4486.95,0.5706,0.26341,0.9239,0.88665,0.86886,0.8809,0.67499,1.21291,0.55744,1.42239,0.00214046,0.00214046,0.00214046
47,2966.74,0.65529,0.30297,0.95569,0.90495,0.86865,0.89211,0.6804,1.18878,0.53356,1.35243,0.0056704,0.0056704,0.0056704
70,4423.4,0.57791,0.26562,0.92618,0.88455,0.86864,0.87922,0.67545,1.2112,0.55739,1.41958,0.00226769,0.00226769,0.00226769
19,1208.38,0.78289,0.37409,1.01045,0.89301,0.86862,0.88617,0.67638,1.16946,0.56399,1.30037,0.00922942,0.00922942,0.00922942
42,2652.58,0.67589,0.31457,0.96316,0.88654,0.86853,0.88571,0.67904,1.19184,0.52937,1.35116,0.00643101,0.00643101,0.00643101
5,328.989,0.91473,0.49471,1.08571,0.8926,0.86843,0.89287,0.65774,1.16178,0.61332,1.30204,0.00996097,0.00996097,0.00996097
51,3219.09,0.64054,0.29585,0.95138,0.8929,0.86843,0.88745,0.67423,1.20013,0.53354,1.37752,0.00505,0.00505,0.00505
69,4359.89,0.57684,0.26639,0.92641,0.88829,0.86779,0.8814,0.67623,1.20968,0.55351,1.41659,0.00239766,0.00239766,0.00239766
48,3029.7,0.65344,0.30086,0.9537,0.89923,0.86757,0.88939,0.68131,1.17925,0.53803,1.34963,0.00551584,0.00551584,0.00551584
35,2212.76,0.70701,0.32952,0.97496,0.90064,0.86714,0.88557,0.67738,1.17917,0.53548,1.32102,0.00743468,0.00743468,0.00743468
16,1020.19,0.80058,0.3882,1.01992,0.89036,0.86639,0.88286,0.66959,1.17313,0.5623,1.33218,0.00946048,0.00946048,0.00946048
76,4804.76,0.55846,0.25642,0.92001,0.89092,0.8663,0.87957,0.67422,1.21566,0.55753,1.43511,0.00154982,0.00154982,0.00154982
77,4868.2,0.55571,0.25519,0.918,0.89083,0.86563,0.87914,0.67506,1.21704,0.55672,1.43696,0.00144161,0.00144161,0.00144161
75,4741.15,0.56387,0.25904,0.92095,0.89069,0.8652,0.8792,0.67371,1.21418,0.55784,1.4324,0.00166149,0.00166149,0.00166149
62,3916,0.60328,0.27816,0.93592,0.90187,0.86477,0.88855,0.679,1.20916,0.54392,1.40419,0.00337325,0.00337325,0.00337325
28,1772.95,0.73048,0.34353,0.98721,0.91382,0.86456,0.89464,0.67581,1.17487,0.54488,1.30671,0.00832349,0.00832349,0.00832349
20,1270.94,0.77647,0.37101,1.00718,0.89333,0.86391,0.87756,0.66442,1.17415,0.57981,1.3053,0.00914405,0.00914405,0.00914405
18,1145.73,0.7866,0.37756,1.01298,0.89828,0.86228,0.88943,0.664,1.17368,0.56341,1.30179,0.00931067,0.00931067,0.00931067
23,1459.15,0.76019,0.35907,0.99884,0.89006,0.86219,0.87621,0.66909,1.15221,0.55408,1.2868,0.00886404,0.00886404,0.00886404
41,2589.85,0.68016,0.31564,0.96465,0.90274,0.86219,0.88869,0.67958,1.18929,0.53903,1.34532,0.00657963,0.00657963,0.00657963
50,3155.7,0.64298,0.29768,0.95202,0.9082,0.86197,0.89383,0.68171,1.18915,0.53146,1.36513,0.00520548,0.00520548,0.00520548
78,4931.92,0.55525,0.25467,0.91833,0.89221,0.86197,0.87884,0.67552,1.21805,0.55886,1.43741,0.00133695,0.00133695,0.00133695
30,1898.65,0.72533,0.339,0.98279,0.90982,0.86154,0.89006,0.6789,1.16334,0.55338,1.30297,0.00808389,0.00808389,0.00808389
79,4995.44,0.55214,0.25326,0.91799,0.89198,0.86133,0.87915,0.67581,1.2193,0.55875,1.44023,0.00123596,0.00123596,0.00123596
93,5882.69,0.55715,0.2322,0.90097,0.89312,0.86111,0.87944,0.67454,1.22763,0.55953,1.46764,0.000255513,0.000255513,0.000255513
98,6194.05,0.54983,0.22878,0.89817,0.8908,0.86094,0.87886,0.67496,1.22724,0.56052,1.47145,0.000121968,0.000121968,0.000121968
89,5630.19,0.53636,0.24535,0.9125,0.89411,0.8609,0.87912,0.67477,1.22608,0.55728,1.46193,0.000447606,0.000447606,0.000447606
90,5693.61,0.53317,0.24449,0.91323,0.8934,0.8609,0.87897,0.67453,1.22692,0.55723,1.46343,0.00039264,0.00039264,0.00039264
92,5820.39,0.56263,0.2336,0.90297,0.89377,0.86088,0.87945,0.67438,1.22674,0.55861,1.46542,0.000296546,0.000296546,0.000296546
99,6256.44,0.54802,0.22861,0.89729,0.89185,0.86083,0.87871,0.67465,1.22668,0.56057,1.47195,0.000109768,0.000109768,0.000109768
94,5945.01,0.55463,0.23093,0.89966,0.89209,0.86059,0.87896,0.67393,1.22791,0.55956,1.46923,0.000219212,0.000219212,0.000219212
95,6007.22,0.5546,0.23063,0.89933,0.892,0.86058,0.87875,0.67413,1.22832,0.55995,1.47017,0.000187678,0.000187678,0.000187678
96,6069.47,0.55135,0.22971,0.89859,0.89137,0.86055,0.87876,0.67462,1.22777,0.5599,1.47028,0.000160943,0.000160943,0.000160943
87,5503.36,0.53839,0.24627,0.91237,0.896,0.86047,0.87992,0.67487,1.22488,0.55667,1.45915,0.000571106,0.000571106,0.000571106
91,5758.19,0.57885,0.23896,0.90946,0.89474,0.86047,0.87903,0.67373,1.22657,0.5576,1.46425,0.00034227,0.00034227,0.00034227
97,6131.83,0.55043,0.22893,0.89947,0.89214,0.86009,0.87873,0.67513,1.22755,0.56052,1.47117,0.000139032,0.000139032,0.000139032
85,5376.26,0.54193,0.24832,0.9156,0.8953,0.85982,0.87959,0.67495,1.2237,0.55751,1.45483,0.000712282,0.000712282,0.000712282
100,6318.8,0.54647,0.22824,0.89645,0.89274,0.85982,0.87824,0.67391,1.227,0.56101,1.47346,0.000102443,0.000102443,0.000102443
86,5439.84,0.53833,0.24662,0.9146,0.89569,0.85918,0.87964,0.67534,1.22405,0.5567,1.45732,0.000639518,0.000639518,0.000639518
81,5122.5,0.5461,0.25055,0.9161,0.89832,0.85917,0.88043,0.67528,1.22099,0.55924,1.44526,0.00104537,0.00104537,0.00104537
10,643.453,0.8455,0.42088,1.0446,0.89176,0.85896,0.89475,0.66244,1.18782,0.56947,1.32052,0.00980345,0.00980345,0.00980345
80,5058.92,0.55095,0.25234,0.91756,0.89793,0.85886,0.88043,0.67561,1.21954,0.55845,1.44191,0.00113873,0.00113873,0.00113873
88,5566.72,0.53891,0.24706,0.9137,0.89658,0.85853,0.87976,0.67571,1.22525,0.55676,1.46049,0.000507115,0.000507115,0.000507115
26,1647.45,0.74258,0.3493,0.99294,0.89539,0.85805,0.88468,0.6759,1.18345,0.5507,1.31051,0.00855018,0.00855018,0.00855018
82,5186.03,0.54807,0.25094,0.91548,0.89887,0.85789,0.88059,0.67612,1.22261,0.56051,1.44784,0.000955951,0.000955951,0.000955951
29,1835.72,0.72926,0.34081,0.98645,0.90906,0.85767,0.89679,0.68249,1.14596,0.55889,1.30133,0.00820525,0.00820525,0.00820525
6,391.922,0.89969,0.47532,1.07642,0.85212,0.85764,0.90524,0.67376,1.15702,0.5819,1.28657,0.00993906,0.00993906,0.00993906
34,2149.65,0.70736,0.32986,0.97643,0.9029,0.85745,0.89613,0.68312,1.16983,0.54552,1.30563,0.00756976,0.00756976,0.00756976
33,2086.92,0.7112,0.33174,0.97917,0.89659,0.85659,0.88271,0.67045,1.1969,0.54508,1.33796,0.00770234,0.00770234,0.00770234
83,5249.46,0.54495,0.24955,0.91558,0.89972,0.85659,0.87936,0.67526,1.22395,0.55937,1.45076,0.000870577,0.000870577,0.000870577
84,5312.93,0.54501,0.24963,0.91481,0.89933,0.85659,0.87961,0.67498,1.22387,0.55851,1.453,0.000789327,0.000789327,0.000789327
38,2401.34,0.68969,0.32042,0.96853,0.90039,0.85645,0.88454,0.67838,1.17547,0.53896,1.33687,0.00701588,0.00701588,0.00701588
74,4677.47,0.56533,0.25998,0.92171,0.89673,0.85616,0.87858,0.6733,1.21268,0.55778,1.42838,0.00177651,0.00177651,0.00177651
